Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
359.1961,0.1396484,0.8974609,0.5175781,-0.25,-1.0625,-0.5,0.046875,0.7480469,0.1679688,-2.34375,-3.875,2.78125,150.8054,190.5072
359.227,0.1542969,0.7841797,0.4941406,10.96875,-4.09375,0,-0.1005859,0.7626953,0.2490234,6.5625,-0.8125,-0.6875,150.8054,190.5072
359.2605,0.1542969,0.7841797,0.4941406,10.96875,-4.09375,0,-0.1005859,0.7626953,0.2490234,6.5625,-0.8125,-0.6875,150.8054,190.1698
359.2976,0.1542969,0.7841797,0.4941406,10.96875,-4.09375,0,-0.1005859,0.7626953,0.2490234,6.5625,-0.8125,-0.6875,151.0695,190.1698
359.3276,0.09375,0.859375,0.4433594,11.875,-13.5625,4.875,0.02246094,0.6943359,0.1923828,14.5625,-1.65625,-4.09375,151.0695,190.1698
359.3626,0.09375,0.859375,0.4433594,11.875,-13.5625,4.875,0.02246094,0.6943359,0.1923828,14.5625,-1.65625,-4.09375,151.0695,189.358
359.3981,0.03320313,0.7958984,0.3759766,14.4375,-20.78125,8.15625,0.02246094,0.6943359,0.1923828,14.5625,-1.65625,-4.09375,152.1096,189.358
359.4409,0.03320313,0.7958984,0.3759766,14.4375,-20.78125,8.15625,0.04199219,0.7441406,0.2021484,26.53125,-10.8125,-6.5,152.1096,189.358
359.4612,0.04101563,0.7832031,0.3222656,24.59375,5.65625,3.34375,-0.02832031,0.8066406,0.2119141,32.8125,-7.53125,-8.5625,154.3984,188.7276
359.4963,0.04101563,0.7832031,0.3222656,24.59375,5.65625,3.34375,-0.02832031,0.8066406,0.2119141,32.8125,-7.53125,-8.5625,154.3984,187.9792
359.5287,0.04101563,0.7832031,0.3222656,24.59375,5.65625,3.34375,0.01953125,0.7392578,0.1982422,24.46875,8.96875,-13.1875,154.3984,187.9792
359.5626,0.06542969,0.7285156,0.234375,18.84375,-12.53125,6.6875,0.01953125,0.7392578,0.1982422,24.46875,8.96875,-13.1875,156.6793,187.9792
359.5972,0.06542969,0.7285156,0.234375,18.84375,-12.53125,6.6875,0.1074219,0.8496094,0.1640625,32.15625,-0.3125,-13.5625,156.6793,185.8157
